# r/g(r)/dn[At1,At2]:      g(r)[ C,Si]            dn(r)
          0.009      0.0000000000      0.0000000000
          0.028      0.0000000000      0.0000000000
          0.047      0.0000000000      0.0000000000
          0.065      0.0000000000      0.0000000000
          0.084      0.0000000000      0.0000000000
          0.102      0.0000000000      0.0000000000
          0.121      0.0000000000      0.0000000000
          0.140      0.0000000000      0.0000000000
          0.158      0.0000000000      0.0000000000
          0.177      0.0000000000      0.0000000000
          0.196      0.0000000000      0.0000000000
          0.214      0.0000000000      0.0000000000
          0.233      0.0000000000      0.0000000000
          0.251      0.0000000000      0.0000000000
          0.270      0.0000000000      0.0000000000
          0.289      0.0000000000      0.0000000000
          0.307      0.0000000000      0.0000000000
          0.326      0.0000000000      0.0000000000
          0.345      0.0000000000      0.0000000000
          0.363      0.0000000000      0.0000000000
          0.382      0.0000000000      0.0000000000
          0.400      0.0000000000      0.0000000000
          0.419      0.0000000000      0.0000000000
          0.438      0.0000000000      0.0000000000
          0.456      0.0000000000      0.0000000000
          0.475      0.0000000000      0.0000000000
          0.494      0.0000000000      0.0000000000
          0.512      0.0000000000      0.0000000000
          0.531      0.0000000000      0.0000000000
          0.549      0.0000000000      0.0000000000
          0.568      0.0000000000      0.0000000000
          0.587      0.0000000000      0.0000000000
          0.605      0.0000000000      0.0000000000
          0.624      0.0000000000      0.0000000000
          0.643      0.0000000000      0.0000000000
          0.661      0.0000000000      0.0000000000
          0.680      0.0000000000      0.0000000000
          0.698      0.0000000000      0.0000000000
          0.717      0.0000000000      0.0000000000
          0.736      0.0000000000      0.0000000000
          0.754      0.0000000000      0.0000000000
          0.773      0.0000000000      0.0000000000
          0.792      0.0000000000      0.0000000000
          0.810      0.0000000000      0.0000000000
          0.829      0.0000000000      0.0000000000
          0.847      0.0000000000      0.0000000000
          0.866      0.0000000000      0.0000000000
          0.885      0.0000000000      0.0000000000
          0.903      0.0000000000      0.0000000000
          0.922      0.0000000000      0.0000000000
          0.941      0.0000000000      0.0000000000
          0.959      0.0000000000      0.0000000000
          0.978      0.0000000000      0.0000000000
          0.996      0.0000000000      0.0000000000
          1.015      0.0000000000      0.0000000000
          1.034      0.0000000000      0.0000000000
          1.052      0.0000000000      0.0000000000
          1.071      0.0000000000      0.0000000000
          1.090      0.0000000000      0.0000000000
          1.108      0.0000000000      0.0000000000
          1.127      0.0000000000      0.0000000000
          1.145      0.0000000000      0.0000000000
          1.164      0.0000000000      0.0000000000
          1.183      0.0000000000      0.0000000000
          1.201      0.0000000000      0.0000000000
          1.220      0.0000000000      0.0000000000
          1.239      0.0000000000      0.0000000000
          1.257      0.0000000000      0.0000000000
          1.276      0.0000000000      0.0000000000
          1.294      0.0000000000      0.0000000000
          1.313      0.0000000000      0.0000000000
          1.332      0.0000000000      0.0000000000
          1.350      0.0000000000      0.0000000000
